"company_name","business_state","sic_code","phone_number","website","business_categories","business_city","business_country","business_zip_code","closed_on","opening_hours","closing_hours","latitude","longitude","location_type","year_established","avg_opening_hour","avg_closing_hour","business_street_name","description","services","links","estimated_annual_revenue","num_employees","review_count","reviews","owner","manta_link","url","company_id"
"Point 2 Point Global Security, Inc","Maryland","7381","(41***638***88","http://www.p2pgsi.net","[""Business Services"",""Detective, Guard, and Armored Car Services"",""Security guard service""]","Phoenix","United States","21131","{""friday"":false,""monday"":false,""saturday"":false,""sunday"":false,""wednesday"":false}","[null,null,null,null,null,null,null]","[null,null,null,null,null,null,null]",39.5183,-76.56799,"HQ",2004,,,"3313 Paper Mill Rd. Suite 204","Point 2 Point provides physical security nationwide including: unarmed and armed guards and off duty police to the commerical and government sectors.
Point 2 Point Global Security, Inc. was established in 2004 in Chino Hills, California, to provide off duty police officers for commercial clients on a nationwide basis. With a commitment to quality and superior customer service, P2P quickly set itself apart from the competition.

Over the past 7 years, P2P has continued its commitment to quality and superior customer service as our rapid growth has supported. Today, we continue to offer off duty police officer services, but have grown to offer uniformed unarmed and armed guards, patrol services, loss prevention, security assessments, executive protection - now licensed in over 20 states nationwide - providing service to Fortune 500 commercial clients and the Federal Government.

""P2P is committed to providing our service the right way","[""Uniformed Unarmed Guards"",""Uniformed Armed Guards"",""Off Duty Police"",""disaster rescue operations"",""Executive Protection""]",,,"100 to 249",,,,"https://www.manta.com/c/mmd6dqd/point-2-point-global-security-inc","https://www.manta.com/c/mmd6dqd/point-2-point-global-security-inc","mmd6dqd"
"VIDA BEM LLC","California","7999","661***319***","https://www.vidabem.us","[""Travel & Leisure"",""Amusement Services"",""Field""]","Bakersfield","United States","93308",,,,35.4195087,-119.038052,"unknown",2015,,,"1400 Norris Road null","Categorized under Computer Leasing and Renting. Current estimates show this company has an annual revenue of 55057 and employs a staff of approximately 2.",,,"55057","2",,,"Jos***oza***","https://www.manta.com/c/mkhxnf1/vida-bem-llc","https://www.manta.com/c/mkhxnf1/vida-bem-llc","mkhxnf1"
"Druid Park","Maryland","7999","410***782***","http://bcrp.baltimorecity.gov/parks/druid-hill","[""Travel & Leisure"",""Amusement Services"",""Playgrounds""]","Baltimore","United States","21211",,,,39.3312365,-76.6502217,"unknown",2012,,,"2165 Druid Park Drive null","Categorized under Office Buildings and Parks. Our records show it was established in 2012 and incorporated in Maryland. Current estimates show this company has an annual revenue of unknown and employs a staff of approximately 5 to 9.",,,,"5 to 9",,,,"https://www.manta.com/c/mtrskpb/druid-park","https://www.manta.com/c/mtrskpb/druid-park","mtrskpb"
"Piedmont Sports Association","Oklahoma","7997","405***481***","https://start.cortera.com/.../l1n3ntq8r/piedmont-sports-association","[""Travel & Leisure"",""Membership Sports and Recreation Clubs"",""Recreation Centers""]","Piedmont","United States","73078",,,,35.6524333874478,-97.7423227997798,"unknown",2001,,,"314 Edmond Road NW null","Categorized under Recreation Centers and Rec Centers. Our records show it was established in 2001 and incorporated in Oklahoma. Current estimates show this company has an annual revenue of 68862 and employs a staff of approximately 2.",,,"68862","2",,,,"https://www.manta.com/c/mm2llsy/piedmont-sports-association","https://www.manta.com/c/mm2llsy/piedmont-sports-association","mm2llsy"
"Tap Plumbing","South Carolina","1711","843***690***","null","[""Consumer Products and Services"",""Plumbing, Heating, and Air-Conditioning"",""Heating Contractors""]","Hardeeville","United States","29927",,,,32.2635,-81.0669,"Unknown",,,,"Po Box 42","Categorized under Heating Contractors. Current estimates show this company has an annual revenue of less than $500,000 and employs a staff of approximately 1 to 4.",,,,"1 to 4",,,"Tim***y P***ett***","https://www.manta.com/c/mb8pn8q/tap-plumbing","https://www.manta.com/c/mb8pn8q/tap-plumbing","mb8pn8q"
"Tips Neighborhood Auto Insurance","Arkansas","6411","479***200***","null","[""Insurance"",""Insurance Agents, Brokers, and Service"",""Insurance Consultants and Advisors""]","Fort Smith","United States","72901",,,,35.3865182,-94.4184331,"unknown",2008,,,"2800 Grand Avenue null","Categorized under Insurance Companies. Our records show it was established in 2008 and incorporated in Arkansas. Current estimates show this company has an annual revenue of less than $500,000 and employs a staff of approximately 1 to 4.",,,,"1 to 4",,,"Gra*** Ra***","https://www.manta.com/c/mtmgcvn/tips-neighborhood-auto-insurance","https://www.manta.com/c/mtmgcvn/tips-neighborhood-auto-insurance","mtmgcvn"
"Sixth Street Church Of God In Christ","Louisiana","8661","318***664***","http://www.churchofgod.cc","[""Non-Profit Organizations"",""Religious Organizations"",""Churches""]","Ferriday","United States","71334",,,,31.6256410074656,-91.5576138485542,"unknown",1994,,,"512 6th Street null","Categorized under Miscellaneous Denomination Church. Our records show it was established in 1994 and incorporated in Louisiana. Current estimates show this company has an annual revenue of 60358 and employs a staff of approximately 1.",,,"60358","1",,,"Wil*** J ***is","https://www.manta.com/c/mm42vf8/sixth-street-church-of-god-in-christ","https://www.manta.com/c/mm42vf8/sixth-street-church-of-god-in-christ","mm42vf8"
"Richardson's Truck Diesel & At","Oklahoma","7538","918***322***","null","[""Automotive Services"",""General Automotive Repair Shops"",""Car Repair and Services""]","Muskogee","United States","74401",,,,35.74743,-95.40473,"Unknown",,,,"3637 State Highway 51b","Categorized under Car Repair and Services. Current estimates show this company has an annual revenue of less than $500,000 and employs a staff of approximately 1 to 4.",,,,"1 to 4",,,,"https://www.manta.com/c/mbsmt3p/richardson-s-truck-diesel-at","https://www.manta.com/c/mbsmt3p/richardson-s-truck-diesel-at","mbsmt3p"
"Amg Automotive Inc","Delaware","7539","302***103***","http://facebook.com/AmgAuto/","[""Automotive Services"",""Automotive Repair Shops, NEC"",""Automotive Repair Shops, Nec""]","Wilmington","United States","19804",,,,39.713816,-75.600556,"Single Location",2008,,,"1504 East Ayre Street","Categorized under Automotive Repair Shops, Nec. Our records show it was established in 2008 and incorporated in Delaware. Current estimates show this company has an annual revenue of 110000 and employs a staff of approximately 1.",,"{""facebook"":""http://facebook.com/AmgAuto/""}","110000","1",,,"R E***mas***i J***","https://www.manta.com/c/mry9p03/amg-automotive-inc","https://www.manta.com/c/mry9p03/amg-automotive-inc","mry9p03"
"Lenders Asset Management Corporation","Colorado","6531","303***635***","null","[""Real Estate"",""Real Estate Agents and Managers"",""Real Estate Management""]","Littleton","United States","80128",,,,39.5918,-105.0832,"Unknown",1991,,,"6588 West Ottawa Avenue","Categorized under Real Estate Management. Our records show it was established in 1991 and incorporated in Colorado. Current estimates show this company has an annual revenue of $500,000 to $1 million and employs a staff of approximately 1 to 4.",,,,"1 to 4",,,"Fra***Haw***","https://www.manta.com/c/mm02m4r/lenders-asset-management-corporation","https://www.manta.com/c/mm02m4r/lenders-asset-management-corporation","mm02m4r"
